2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 81 0 1 398.71 1
updateMktDepth 1002 82 0 1 398.7 6
updateMktDepth 1002 83 0 1 398.69 2
updateMktDepth 1002 84 0 1 398.66 4
updateMktDepth 1002 85 0 1 398.64 2
updateMktDepth 1002 86 0 1 398.61 1
updateMktDepth 1002 87 0 1 398.6 2
updateMktDepth 1002 88 0 1 398.57 6
updateMktDepth 1002 89 0 1 398.55 1
updateMktDepth 1002 90 0 1 398.54 1
updateMktDepth 1002 91 0 1 398.51 1
updateMktDepth 1002 92 0 1 398.5 24
updateMktDepth 1002 93 0 1 398.49 3
updateMktDepth 1002 94 0 1 398.47 1
updateMktDepth 1002 95 0 1 398.46 13
updateMktDepth 1002 96 0 1 398.41 1
updateMktDepth 1002 97 0 1 398.38 1
updateMktDepth 1002 98 0 1 398.37 1
updateMktDepth 1002 99 0 1 398.36 1
updateMktDepth 1002 0 0 0 399.55 58
updateMktDepth 1002 1 0 0 399.56 8
updateMktDepth 1002 2 0 0 399.57 19
updateMktDepth 1002 3 0 0 399.58 10
updateMktDepth 1002 4 0 0 399.59 13
updateMktDepth 1002 5 0 0 399.6 31
updateMktDepth 1002 6 0 0 399.61 31
updateMktDepth 1002 7 0 0 399.62 30
updateMktDepth 1002 8 0 0 399.63 19
updateMktDepth 1002 9 0 0 399.64 28
updateMktDepth 1002 10 0 0 399.65 18
updateMktDepth 1002 11 0 0 399.66 18
updateMktDepth 1002 12 0 0 399.67 28
updateMktDepth 1002 13 0 0 399.68 21
updateMktDepth 1002 14 0 0 399.69 28
updateMktDepth 1002 15 0 0 399.7 28
updateMktDepth 1002 16 0 0 399.71 36
updateMktDepth 1002 17 0 0 399.72 20
updateMktDepth 1002 18 0 0 399.73 18
updateMktDepth 1002 19 0 0 399.74 59
updateMktDepth 1002 20 0 0 399.75 20
updateMktDepth 1002 21 0 0 399.76 14
updateMktDepth 1002 22 0 0 399.77 17
updateMktDepth 1002 23 0 0 399.78 14
updateMktDepth 1002 24 0 0 399.79 14
updateMktDepth 1002 25 0 0 399.8 26
updateMktDepth 1002 26 0 0 399.81 30
updateMktDepth 1002 27 0 0 399.82 3
updateMktDepth 1002 28 0 0 399.83 3
updateMktDepth 1002 29 0 0 399.84 8
updateMktDepth 1002 30 0 0 399.85 7
updateMktDepth 1002 31 0 0 399.86 3
updateMktDepth 1002 32 0 0 399.87 3
updateMktDepth 1002 33 0 0 399.88 5
updateMktDepth 1002 34 0 0 399.89 3
updateMktDepth 1002 35 0 0 399.9 4
updateMktDepth 1002 36 0 0 399.91 3
updateMktDepth 1002 37 0 0 399.92 4
updateMktDepth 1002 38 0 0 399.93 2
updateMktDepth 1002 39 0 0 399.94 2
updateMktDepth 1002 40 0 0 399.95 2
updateMktDepth 1002 41 0 0 399.96 5
updateMktDepth 1002 42 0 0 399.97 2
updateMktDepth 1002 43 0 0 399.98 6
updateMktDepth 1002 44 0 0 399.99 3
updateMktDepth 1002 45 0 0 400.0 204
updateMktDepth 1002 46 0 0 400.01 13
updateMktDepth 1002 47 0 0 400.02 5
updateMktDepth 1002 48 0 0 400.03 6
updateMktDepth 1002 49 0 0 400.04 3
updateMktDepth 1002 50 0 0 400.05 4
updateMktDepth 1002 51 0 0 400.06 2
updateMktDepth 1002 52 0 0 400.07 5
updateMktDepth 1002 53 0 0 400.08 2
updateMktDepth 1002 54 0 0 400.09 2
updateMktDepth 1002 55 0 0 400.1 12
updateMktDepth 1002 56 0 0 400.11 2
updateMktDepth 1002 57 0 0 400.12 5
updateMktDepth 1002 58 0 0 400.13 7
updateMktDepth 1002 59 0 0 400.14 2
updateMktDepth 1002 60 0 0 400.15 3
updateMktDepth 1002 61 0 0 400.16 4
updateMktDepth 1002 62 0 0 400.17 3
updateMktDepth 1002 63 0 0 400.18 5
updateMktDepth 1002 64 0 0 400.19 3
updateMktDepth 1002 65 0 0 400.2 9
updateMktDepth 1002 66 0 0 400.21 3
updateMktDepth 1002 67 0 0 400.22 4
updateMktDepth 1002 68 0 0 400.23 3
updateMktDepth 1002 69 0 0 400.24 3
updateMktDepth 1002 70 0 0 400.25 5
updateMktDepth 1002 71 0 0 400.26 3
updateMktDepth 1002 72 0 0 400.27 3
updateMktDepth 1002 73 0 0 400.28 3
updateMktDepth 1002 74 0 0 400.29 5
updateMktDepth 1002 75 0 0 400.3 3
